YY MM DD HH 11502 10304 20203
1980 2 1 0 0 0 0
1980 2 1 3 0.05578347722567289 0 0.721062
1980 2 1 6 1.2363767719979297 0 4.734381
1980 2 1 9 0.7483928835403727 0 1.450163
1980 2 1 12 0.23108611542443064 3.97e-4 4.13e-4
1980 2 1 15 0.033713745341614906 0.012967 6.4e-5
1980 2 1 18 9.713079710144928e-4 0.004315 0
1980 2 1 21 0.004636562629399587 1.52e-4 0
1980 2 2 0 0.0015023284161490684 0 0.058654
1980 2 2 3 0.09240337914078676 0 0.005972
1980 2 2 6 0.020903245341614907 0 0.204463
1980 2 2 9 0.030621902173913043 0 2.704407
1980 2 2 12 0.8172497018633541 0.001653 2.865874
1980 2 2 15 1.1852928892339545 0.005707 1.492634
1980 2 2 18 0.2800453439440994 0 2.497355
1980 2 2 21 0.3631385186335404 0 1.492361
1980 2 3 0 0.758590655020704 0 1.329996
1980 2 3 3 0.4089062823498965 0 0.60149300000000006
1980 2 3 6 0.2123832406832298 0 0.321791
1980 2 3 9 0.6717732947722568 0 1.942
1980 2 3 12 1.7326919101966873 0.003633 1.884071
1980 2 3 15 2.532995100414079 0.414266 1.1787
1980 2 3 18 1.5440346713250517 0.066969 0.920316
1980 2 3 21 0.6259789604037267 3.22e-4 0.772044
1980 2 4 0 1.8783452968426502 0.037441 1.46704
1980 2 4 3 1.1645788382505176 0.057594 5.075834
1980 2 4 6 1.1671006581262942 0.047944 1.572803
1980 2 4 9 2.5511711599378883 0.083945 0.274245
1980 2 4 12 4.217739017857143 0.350037 0.687364
1980 2 4 15 4.468415117494824 0.882727 2.146995
1980 2 4 18 3.2582357986542445 1.060567 1.80998
1980 2 4 21 3.0985615121635615 0.527327 0.331556
1980 2 5 0 2.129312698757764 0.475057 1.580709
1980 2 5 3 1.594260730590062 0.645184 0.924158
1980 2 5 6 2.6195398271221535 1.187922 1.438835
1980 2 5 9 2.969718276656315 0.576449 0.631937
1980 2 5 12 2.3738483817287785 0.620065 1.47165
1980 2 5 15 1.525353724378882 0.512117 2.063391
1980 2 5 18 1.2572264508281574 0.468141 2.353156
1980 2 5 21 0.4278808167701863 0.027354 0.470823
1980 2 6 0 0.5723261700310559 0.011362 0.197541
1980 2 6 3 0.7754340786749483 0.003467 0.393072
1980 2 6 6 0.1648615781573499 0 0.67787
1980 2 6 9 0.5908397823498965 0.003489 0.506331
1980 2 6 12 1.3540346376811594 0.110248 0.439978
1980 2 6 15 0.3976098007246377 0.247509 0.109764
1980 2 6 18 8.479350414078674e-4 0.007184 0.65664
1980 2 6 21 0.024339403985507248 5.6e-5 1.101851
1980 2 7 0 0.0010521783126293995 0 0.194201
1980 2 7 3 0.013083131211180123 0 0.623531
1980 2 7 6 0.1013578043478261 0 0.301437
1980 2 7 9 0.6379337155797101 0 0.478261
1980 2 7 12 1.0713564813664596 0.054334 0.591525
1980 2 7 15 0.12838303830227743 0.150692 0.383057
1980 2 7 18 0.5290368597308489 0.005635 0.325651
1980 2 7 21 0.6161384161490684 8.6e-5 0.235837
1980 2 8 0 0.1479762355072464 0 0.145625
1980 2 8 3 0.19756909756728777 0 0.068257
1980 2 8 6 0.056560726708074535 0 0.03929
1980 2 8 9 0.0022201094720496898 0 1e-5
1980 2 8 12 0.23847472748447207 0.028281 0.027821
1980 2 8 15 0.09846635170807454 0.10182 0.026711
1980 2 8 18 7.713742236024844e-4 1.28e-4 0.021463
1980 2 8 21 1.435041407867495e-6 0 0.019529
1980 2 9 0 2.8726708074534157e-8 0 0.006685
1980 2 9 3 2.8726708074534157e-8 0 3.1e-5
1980 2 9 6 1.435041407867495e-6 0.00211 0.004021
1980 2 9 9 3.7999223602484476e-5 0.003275 5.95e-4
1980 2 9 12 0.1642509660973085 0.192269 0.023553
1980 2 9 15 0.6284155346790892 0.792631 0.04218
1980 2 9 18 0.07459594487577641 0.207847 0.013093
1980 2 9 21 5.212820910973085e-4 0.059722 0.005227
1980 2 10 0 6.612551759834368e-5 0.005149 0.00658
1980 2 10 3 6.357142857142858e-6 4.15e-4 0.006665
1980 2 10 6 8.483695652173913e-6 4.9e-4 0.005614
1980 2 10 9 0.0193888483436853 0.013244 0.185809
1980 2 10 12 0.3747334689440994 0.229445 0.584581
1980 2 10 15 1.623212656573499 0.510591 0.150069
1980 2 10 18 2.955191125 0.18895 0.046461
1980 2 10 21 0.9339548804347827 1.400062 0.014773
1980 2 11 0 1.0200470535714286 0.277037 0.307834
1980 2 11 3 0.5430655522774328 0.148811 0.621347
1980 2 11 6 0.046943681935817806 0.033379 0.058661
1980 2 11 9 0.1610349228778468 0.029262 0.003559
1980 2 11 12 0.8089937220496896 0.275032 0.32098
1980 2 11 15 0.2723560207039338 0.104235 0.372707
1980 2 11 18 0.39466457039337477 0.003395 0.622207
1980 2 11 21 0.08897341304347826 0 0.425568
1980 2 12 0 0.029568472567287785 0 0.385097
1980 2 12 3 0.031313619565217395 0 0.184035
1980 2 12 6 0.07510964777432713 0 0.098406
1980 2 12 9 0.06407308669772258 0 0.001852
1980 2 12 12 0.10990588224637682 0.047189 0.04953
1980 2 12 15 0.00940275129399586 0.015616 0.011754
1980 2 12 18 2.8726708074534157e-8 0 0.030468
1980 2 12 21 2.8726708074534157e-8 0 0.006275
1980 2 13 0 2.8726708074534157e-8 0 1e-6
1980 2 13 3 2.8726708074534157e-8 0 0
1980 2 13 6 2.8726708074534157e-8 0 0
1980 2 13 9 2.8726708074534157e-8 0 0
1980 2 13 12 2.8726708074534157e-8 0 2.2e-4
1980 2 13 15 3.9240683229813664e-4 0 0.00986
1980 2 13 18 2.8726708074534157e-8 0 0
1980 2 13 21 2.8726708074534157e-8 0 0
1980 2 14 0 2.8726708074534157e-8 0 0
1980 2 14 3 2.8726708074534157e-8 0 0
1980 2 14 6 2.8726708074534157e-8 0 0
1980 2 14 9 2.8726708074534157e-8 0 0
1980 2 14 12 0.02955513845755694 0 0
1980 2 14 15 0.18678864596273292 0.065804 0.001439
1980 2 14 18 2.8858178053830232e-5 0 0
1980 2 14 21 2.8413561076604555e-6 0 0
1980 2 15 0 2.8726708074534157e-8 0 0
1980 2 15 3 2.8726708074534157e-8 0 0
1980 2 15 6 2.8726708074534157e-8 0 0
1980 2 15 9 2.8726708074534157e-8 0 0
