YY MM DD HH 11502 10304 20203
1980 2 1 0 0 0 0
1980 2 1 3 0.09211128364389236 1.309 0.007
1980 2 1 6 1.5285605590062115 1.309 0.091
1980 2 1 9 2.5230892857142857 1.432 0.219
1980 2 1 12 2.404578157349897 1.422 0.254
1980 2 1 15 2.3333804347826086 1.328 0.323
1980 2 1 18 2.355148550724638 2.644 0.749
1980 2 1 21 2.563252329192547 3.861 1.733
1980 2 2 0 2.618818322981366 4.609 2.74
1980 2 2 3 3.2694306418219465 4.607 2.804
1980 2 2 6 7.797215579710145 4.584 2.615
1980 2 2 9 9.295223602484473 5.697 2.798
1980 2 2 12 10.258102225672879 6.914 2.332
1980 2 2 15 10.504478519668739 6.944 1.904
1980 2 2 18 10.635628364389236 6.84 1.706
1980 2 2 21 10.49113612836439 6.807 1.373
1980 2 3 0 10.65411956521739 7.081 1.365
1980 2 3 3 10.852433229813665 7.627 1.259
1980 2 3 6 11.055629140786749 7.805 1.206
1980 2 3 9 11.926244565217393 8.99 1.301
1980 2 3 12 13.132089285714287 11.066 1.628
1980 2 3 15 13.929473861283645 12.259 1.775
1980 2 3 18 14.992591873706006 12.959 1.845
1980 2 3 21 15.713857660455487 15.179 1.882
1980 2 4 0 17.17498706004141 17.409 2.119
1980 2 4 3 17.909912008281573 20.076 2.047
1980 2 4 6 17.940796842650105 23.984 1.692
1980 2 4 9 17.9490882505176 25.006 1.652
1980 2 4 12 17.806484213250517 26.429 1.64
1980 2 4 15 17.54866252587992 28.522 1.788
1980 2 4 18 18.05569099378882 33.336 1.971
1980 2 4 21 19.427537267080744 39.174 2.134
1980 2 5 0 20.610466356107665 41.514 2.353
1980 2 5 3 20.5644981884058 45.181 2.344
1980 2 5 6 20.454698240165634 50.534 2.204
1980 2 5 9 20.04981573498965 51.641 1.984
1980 2 5 12 19.18226190476191 51.148 1.644
1980 2 5 15 18.675986283643894 50.757 1.324
1980 2 5 18 18.75420212215321 51.32 1.162
1980 2 5 21 18.856434782608694 51.579 0.945
1980 2 6 0 18.940756211180126 51.602 0.846
1980 2 6 3 19.04164829192547 51.644 0.866
1980 2 6 6 19.00749689440994 51.718 0.865
1980 2 6 9 19.41195160455487 52.117 0.801
1980 2 6 12 19.627969720496896 52.42 0.617
1980 2 6 15 19.09140398550725 52.082 0.505
1980 2 6 18 19.070841614906836 52.076 0.495
